PROFILE_SEARCH_CONTACT_TITLE	Suche nach einem Kontakt
TELEPORT_MAP_SPIDERDUNGEON_01	Spinnendungeon
TELEPORT_MAP_SPIDERDUNGEON_02	Spinnendungeon 2
TELEPORT_MAP_DEAMONTOWER	Dämonenturm
TELEPORT_MAP_DEVILS_CATACOMB	Teufelskatakomben
TELEPORT_MAP_SKIPIA_DUNGEON	Grotte der Verbannung
TELEPORT_MAP_BLAZING_PURGATORY	Rotdrachenfestung
TELEPORT_MAP_NEMERES_WARTE	Nemeres Warte
TELEPORT_MAP_MAP_1_DESC	Achja, der Ort bei dem die Nostalgische Musik läuft. Hier ist jedenfalls das Zentrum des Handels. Wenn du etwas kaufen möchtest wirst du hier wohl immer fündig! Aber sonst ist hier nicht viel zu finden wenn du schon zu den stärkeren Kämpfern gehörst.
TELEPORT_MAP_MAP_2_DESC	Ein wichtiges Gebiet wenn du noch Jung bist. Hier findest du halbstarke Monster die dir bis Level 30 gute Erfahrung bieten. Ausserdem grenzt hier eines der Affendungeons an.
TELEPORT_MAP_GUILDZONE_DESC	Ein Gebiet welches für Gilden wichtig ist. Hier wird gebaut! Aber nicht nur das, auch Monster sind hier zu finden. Sie sind Aggressiv und greifen von alleine an. Junge Spieler können es hier Schwer haben, mann kann hier aber gute Gegenstände erbeuten.
TELEPORT_MAP_SEUNGRYONG_DESC	Das Orktal ist der Perfekte Ort um von Level 20 bis etwa Level 50 zu Leveln. Ausserdem hat das Orktal eines der Beliebtesten Metin Farm Locations. Der Boss auf dieser Map ist der Oberork. Dieser ist oft überfarmt, also sei immer Wachsam nach dem Gelben Kerl!
TELEPORT_MAP_YONGBI_DESC	Heiße Lüfte, Sand in den Sandalen. Magst du nicht? Dann solltest du diesen Ort besser meiden. Aber hier gibt es viel zu entdecken. Zwei Affendungeons grenzen hier an, die Spinnendungeon und das Schlangenfeld sind ebenfalls von hier zu erreichen.
TELEPORT_MAP_SOHAN_DESC	Hier oben ist es ziemlich kalt also Pack dich gut ein! Hier findest du selten die Legänderen Neunschwänze. Geb dich in acht vor ihnen! Es ist ausserdem ein guter Bereich um Metinsteine zu bezwingen. Überlebst du die Kälte, bist du ein taffer Kämpfer.
TELEPORT_MAP_DOYYUMHWAN_DESC	Vulkane und Magma. Hier wirds richtig Heiß! Monster die gefühlt nicht von dieser Welt stammen sind hier zu finden. Hier solltest du nicht hingehen wenn du nicht stark genug bist!
TELEPORT_MAP_SNAKEFIELD_DESC	Schlangen und Giganten? Pff... Wie konnte sich das nur entwickeln. Mach dich auf in ein gefährliches Gebiet und versuche hier zu Überleben. Meide diesen Ort wenn du nicht wirklich weißt was du tust, sonst bist du schnell erledigt.
TELEPORT_MAP_GHOSTWOOD_DESC	Nachforschungen haben ergeben, dass der Geisterwald ein Gebiet ist, das von Geisterbaumstumpf und Dryade dominiert wird. Wenn du sie vernichtest, kannst du vielleicht verhindern, dass sich die Geisterbäume weiter ausbreiten.
TELEPORT_MAP_REDWOOD_DESC	Der Rote Wald ist verflucht! Hier findest du eine menge starker Gegner. Sei vorsichtig!
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Wenn du ein Problem mit Größenordnungen hast, geh hier nicht hin! Andernfalls wirst du hier Gegenstände erbeuten können die dir zu Ruhm und Reichtum verhelfen könnten. Nur geh bitte gut Ausgerüstet dort hin. Das Land braucht dich noch länger!
TELEPORT_BUTTON_RED_EMPIRE	Rotes Reich
TELEPORT_BUTTON_YELLOW_EMPIRE	Gelbes Reich
TELEPORT_BUTTON_BLUE_EMPIRE	Blaues Reich
TELEPORT_BUTTON_START	Anfang
TELEPORT_BUTTON_MIDDLE	Mitte
TELEPORT_BUTTON_END	Ende
TELEPORT_BUTTON_ENTRY	Eingang
TELEPORT_BUTTON_SKIPIA_1	Erste Ebene
TELEPORT_BUTTON_SKIPIA_2	Zweite Ebene
TELEPORT_BUTTON_SKIPIA_BOSS	Bossraum
PET_ATTR_CHANGE_ITEM_TEXT	Pet verzaubern
PET_ATTR_CHANGE_TITLE	Pettyp ändern
PET_ATTR_CONFIRMATION	Ändern
PET_ATTR_DETERMINE_TITLE	Neuer Pettyp
PET_ATTR_OK	Schließen
PET_CHANGE_TEXT	Pet
PET_FEED_TITLE	Pet Fenster
PET_FEED_ITEM_TITLE	Füttern EXP
PET_FFED_BUTTON_TEXT	Füttern
PET_HATCHING_BUTTON	Ausbrüten
PET_HATCHING_NIK	Name des Pets
PET_HATCHING_WINDOW_TITLE	Brutkasten
PET_INFORMATION_ABILITIES	Boni
PET_INFORMATION_AGE	Alter
PET_INFORMATION_COSTUME_BONUS	Kostümbonus
PET_INFORMATION_DEFENCE	Stark gegen Monster
PET_INFORMATION_EVOL_BUTTON	Entwicklung
PET_INFORMATION_EXP	Erfahrung
PET_INFORMATION_EXP_BUTTON	Item EXP
PET_INFORMATION_HP	TP
PET_INFORMATION_LEVEL	Level
PET_INFORMATION_LIFE	Laufzeit
PET_INFORMATION_LIFETIME_BUTTON	Füttern
PET_INFORMATION_LIFE_TIME	Stunden
PET_INFORMATION_LIFE_OLD	Tage
PET_INFORMATION_SKILL	Fertigkeiten
PET_INFORMATION_SP	MP
PET_INFORMATION_ATT	Angriffswert
PET_INFORMATION_TITLE	Pet
PET_NAME_CHANGE_BUTTON	Ändern
PET_NAME_CHANGE_WINDOW_TITLE	Name ändern
PET_TOOLTIP_TIME	Verbl. Zeit: %dT %dStd %dMin
PET_TOOLTIP_RESTORE_HP	Wiederherstellende TP: 
PET_TOOLTIP_CHANCE_RESTORE_HP	Chance TP wiederherzustellen: 
PET_TOOLTIP_IMMORTALITY_TIME	Dauer Unbesigbarkeit: 
PET_TOOLTIP_CHANCE_IMMORTALITY	Chance auf Unbesiegbarkeit: 
PET_TOOLTIP_CHANCE_PANACEA	Chance auf Heilung: 
PET_TOOLTIP_CHANCE	Chance: 
ACCE_RESULT	Ergebnis
INVENTORY_SORT	Inventar sortieren
SPECIAL_INVENTORY_SKILLBOOK_TITLE	Bücher
SPECIAL_INVENTORY_STONE_TITLE	Steine
SPECIAL_INVENTORY_MATERIAL_TITLE	Upp-Items
EXTENDET_BATTLE_PASS_TITLE	Battle-Pass
EXTENDET_BATTLE_PASS_RANK_ICON_RANK	Rank-Plazierung
EXTENDET_BATTLE_PASS_RANK_ICON_NAME	Spielername
EXTENDET_BATTLE_PASS_RANK_ICON_TIME	Gebrauchte Zeit seit anfang der ersten Mission
EXTENDET_BATTLE_PASS_NO_PLANNED_NORMAL_BATTLEPASS	Es zur Zeit kein Battle-Pass geplant!
EXTENDET_BATTLE_PASS_PLANNED_NEXT_NORMAL_BATTLEPASS	Es ist ein Battle-Pass geplant!
EXTENDET_BATTLE_PASS_TIME_TO_NEXT_NORMAL_BATTLEPASS	Zeit bis zum Battle-Pass: %s
EXTENDET_BATTLE_PASS_NO_PLANNED_PREMIUM_BATTLEPASS	Es zur Zeit kein Premium Battle-Pass geplant!
EXTENDET_BATTLE_PASS_PLANNED_NEXT_PREMIUM_BATTLEPASS	Es ist ein Premium Battle-Pass geplant!
EXTENDET_BATTLE_PASS_TIME_TO_NEXT_PREMIUM_BATTLEPASS	Zeit bis zum Premium Battle-Pass: %s
EXTENDET_BATTLE_PASS_NO_PLANNED_EVENT_BATTLEPASS	Es zur Zeit kein Battle-Pass Event geplant!
EXTENDET_BATTLE_PASS_PLANNED_NEXT_EVENT_BATTLEPASS	Es ist ein Battle-Pass Event geplant!
EXTENDET_BATTLE_PASS_TIME_TO_NEXT_EVENT_BATTLEPASS	Zeit bis zum Event Battle-Pass: %s
EXTENDET_BATTLE_PASS_SEASON_TITLE	Battle-Pass Informationen
EXTENDET_BATTLE_PASS_SEASON_NAME	Season: %s
EXTENDET_BATTLE_PASS_SEASON_TOTAL_MISSIONS	Missionen in dieser Season: %d
EXTENDET_BATTLE_PASS_SEASON_CURRENT_MISSIONS	Missionen abgeschlossen: %d / %d
EXTENDET_BATTLE_PASS_SEASON_DATE_FROM	Vom
EXTENDET_BATTLE_PASS_SEASON_DATE_TO	Bis
EXTENDET_BATTLE_PASS_SEASON_REST_TIME	Verbleibende Zeit: %s
EXTENDET_BATTLE_PASS_SEASON_PROGRESS	Fortschritt aller Missionen
EXTENDET_BATTLE_PASS_MISSION_MISSION_NAME	Missionsname
EXTENDET_BATTLE_PASS_MISSION_NAME	Missionsname
EXTENDET_BATTLE_PASS_MISSION_STATUS	Status
EXTENDET_BATTLE_PASS_MISSION_INFO	Information
EXTENDET_BATTLE_PASS_MISSION_STATUS	Status: 
EXTENDET_BATTLE_PASS_MISSION_STATUS_IN_PROGRESS	|cfffeff7d|H|hNoch nicht Erfüllt!|h|r
EXTENDET_BATTLE_PASS_MISSION_STATUS_FINISH	|cff82ff7d|H|hBeendet!|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION	Information:
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MONSTER	Monster: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MINLEVEL	Mindest Lv.: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_ITEM	Gegenstand: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_ORE	Erz: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_FISH	Fisch: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MAPNAME	Map: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_GUILDWARTYPE	Gildenkrieg Typ: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_PET_MINTYPE	Min. Pet-Typ: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_DUNGEON	Dungeon: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MINIGAME	Minigame: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_COUNT	Noch verbl.: |cfffeff7d|H|h%s|h|r / |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_COUNT_GOLD	Noch verbl.: |cfffeff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_PERCENT	Erfüllt zu |cfffeff7d|H|h%.2f%%|h|r
EXTENDET_BATTLE_PASS_DESCRIPTION	Beschreibung:
EXTENDET_BATTLE_PASS_MISSION_COMPLEDET	Mission beendet
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_MOB	Monster
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_ITEM	Gegenstände
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_FISH	Fische
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_DUNGEON	Beende versch. Dungeons
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_MINIGAME	Mini-Games
EXTENDET_BATTLE_PASS_TYPENAME_1	Töte %s
EXTENDET_BATTLE_PASS_TYPENAME_1_DESC_1	Töte %sx %s.
EXTENDET_BATTLE_PASS_TYPENAME_1_DESC_2	Töte %sx beliebige Monster
EXTENDET_BATTLE_PASS_TYPENAME_2	Töte %s Spieler
EXTENDET_BATTLE_PASS_TYPENAME_2_DESC_1	Töte %s Spieler. Spieler aus jedem Reich zählen. Die Spieler müssen mindestens Level %s sein!
EXTENDET_BATTLE_PASS_TYPENAME_2_DESC_2	Töte %s Spieler. Spieler aus jedem Reich zählen. Es gibt kein Level-Limit!
EXTENDET_BATTLE_PASS_TYPENAME_3	Gesamtschaden an Monster
EXTENDET_BATTLE_PASS_TYPENAME_3_DESC_1	Erreiche einen Gesamten Schaden von %s bei %s.
EXTENDET_BATTLE_PASS_TYPENAME_3_DESC_2	Erreiche einen Gesamten Schaden von %s. Es wird bei jedem Monster gezählt!
EXTENDET_BATTLE_PASS_TYPENAME_4	Gesamtschaden an Spielern
EXTENDET_BATTLE_PASS_TYPENAME_4_DESC_1	Erreiche einen Gesamten Schaden von %s bei Spielern mit Min-Lv %d. Spieler aus jedem Reich zählen.
EXTENDET_BATTLE_PASS_TYPENAME_4_DESC_2	Erreiche einen Gesamten Schaden von %s bei Spielern. Spieler aus jedem Reich zählen.
EXTENDET_BATTLE_PASS_TYPENAME_5	Benutze %s
EXTENDET_BATTLE_PASS_TYPENAME_5_DESC_1	Du musst %sx %s benutzen oder öffnen um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_5_DESC_2	Du musst %sx ein Gegenstand benutzen oder öffnen um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_6	Verkaufe %s
EXTENDET_BATTLE_PASS_TYPENAME_6_DESC_1	Verkaufe %sx %s bei NPC's um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_6_DESC_2	Verkaufe %sx ein Gegenstand bei NPC's um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_7	Crafte dir %s
EXTENDET_BATTLE_PASS_TYPENAME_7_DESC_1	Crafte %sx %s um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_7_DESC_2	Crafte %sx ein Gegenstand um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_8	Verbessere %s
EXTENDET_BATTLE_PASS_TYPENAME_8_DESC_1	Verbessere %sx %s auf die nächste Stufe um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_8_DESC_2	Verbessere %s Gegenstände auf die nächste Stufe um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_9	Zerstöre %s
EXTENDET_BATTLE_PASS_TYPENAME_9_DESC_1	Zerstöre %sx %s um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_9_DESC_2	Zerstöre %s Gegenstände um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_10_1	Erbeute %s
EXTENDET_BATTLE_PASS_TYPENAME_10_2	Baue %s ab
EXTENDET_BATTLE_PASS_TYPENAME_10_1_DESC_1	Erbeute %sx %s von Monstern um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_10_2_DESC_1	Baue %sx %s ab um diese Mission zu erfüllen
EXTENDET_BATTLE_PASS_TYPENAME_10_DESC_2	Erbeute %s verschiedene Gegenstände um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_11	Angel %s
EXTENDET_BATTLE_PASS_TYPENAME_11_DESC_1	Ziehe %sx %s aus dem Wasser um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_11_DESC_2	Ziehe %sx einen beliebigen Fisch aus dem Wasser um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_12	Grille %s
EXTENDET_BATTLE_PASS_TYPENAME_12_DESC_1	Grille %sx %s am Lagerfeuer um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_12_DESC_2	Grille %sx einen beliebigen Fisch am Lagerfeuer um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_13	Töte %s
EXTENDET_BATTLE_PASS_TYPENAME_13_DESC_1	Töte %sx %s um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_13_DESC_2	Töte %s mal einen beliebigen Fisch um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_14	Sammle %s EXP
EXTENDET_BATTLE_PASS_TYPENAME_14_DESC_1	Sammle %s EXP von %s um diese Mission zu erfüllen. Es zählt die Basis EXP (Levelunabhängig)!
EXTENDET_BATTLE_PASS_TYPENAME_14_DESC_2	Sammle %s EXP von beliebigen Monstern um diese Mission zu erfüllen. Es zählt die Basis EXP (Levelunabhängig)!
EXTENDET_BATTLE_PASS_TYPENAME_15	Sammle %s Yang
EXTENDET_BATTLE_PASS_TYPENAME_15_DESC_1	Sammle %s Yang von Monstern auf der Map %s um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_15_DESC_2	Sammle %s Yang von Monstern um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_16	Spiele Gildenkriege
EXTENDET_BATTLE_PASS_TYPENAME_16_DESC_1	Beende %sx einen Gildenkrieg des Typs %s.
EXTENDET_BATTLE_PASS_TYPENAME_16_DESC_2	Beende %sx einen Gildenkrieg eines Beliebigen Typs.
EXTENDET_BATTLE_PASS_TYPENAME_17	Spende EXP in eine Gilde
EXTENDET_BATTLE_PASS_TYPENAME_17_DESC_1	Spende %s EXP in eine Gilde.
EXTENDET_BATTLE_PASS_TYPENAME_18	Crafte %s Gaya
EXTENDET_BATTLE_PASS_TYPENAME_18_DESC_1	Crafte dir %s Gaya.
EXTENDET_BATTLE_PASS_TYPENAME_19	Kaufe im Gaya-Shop ein
EXTENDET_BATTLE_PASS_TYPENAME_19_DESC_1	Kaufe im Gaya-Shop Gegenstände im Gesamtwert von %s Gaya.
EXTENDET_BATTLE_PASS_TYPENAME_20	Verzaubere ein Pet %s mal
EXTENDET_BATTLE_PASS_TYPENAME_20_DESC_1	Verzaubere ein Pet %sx. Das Pet muss dabei mindestens Pettyp %s erreichen.
EXTENDET_BATTLE_PASS_TYPENAME_20_DESC_2	Verzaubere ein Pet %sx.
EXTENDET_BATTLE_PASS_TYPENAME_21	%s
EXTENDET_BATTLE_PASS_TYPENAME_21_DESC_1	%s: Beende %sx diesen Dungeon um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_21_DESC_2	Beende %sx einen beliebigen Dungeon.
EXTENDET_BATTLE_PASS_TYPENAME_22	Spiele %s
EXTENDET_BATTLE_PASS_TYPENAME_22_DESC_1	Spiele und Beende %sx das Mini-Game %s.
EXTENDET_BATTLE_PASS_TYPENAME_22_DESC_2	Spiele und Beende %sx ein Beliebiges Mini-Game.
EXTENDET_BATTLE_PASS_MAP_NAME_BY_IDX_64	Tal von Seugryong
EXTENDET_BATTLE_PASS_MAP_NAME_BY_IDX_65	Hwang-Tempel
EXTENDET_BATTLE_PASS_MAP_NAME_BY_IDX_72	Grotte 1
EXTENDET_BATTLE_PASS_GUILDWAR_TYPE_NAME_1	Feld-Gildenkrieg
EXTENDET_BATTLE_PASS_GUILDWAR_TYPE_NAME_2	Arena-Gildenkrieg
EXTENDET_BATTLE_PASS_GUILDWAR_TYPE_NAME_3	Flaggen-Gildenkrieg
EXTENDET_BATTLE_PASS_DUNGEON_NAME_1	Der Dämonenturm
EXTENDET_BATTLE_PASS_DUNGEON_NAME_2	Der Drachenraum
EXTENDET_BATTLE_PASS_DUNGEON_NAME_3	Der Devil's Catacomb
EXTENDET_BATTLE_PASS_DUNGEON_NAME_4	Die Rotdrachenfestung
EXTENDET_BATTLE_PASS_DUNGEON_NAME_5	Die Nemere Warte
EXTENDET_BATTLE_PASS_DUNGEON_NAME_6	Die Spinnenbaroness
EXTENDET_BATTLE_PASS_DUNGEON_NAME_7	Der Meleys Hort
EXTENDET_BATTLE_PASS_DUNGEON_NAME_8	Antiker Jungle
EXTENDET_BATTLE_PASS_MINIGAME_NAME_1	Okey-Karten-Spiel
EXTENDET_BATTLE_PASS_MINIGAME_NAME_2	Schnapp den König
EXTENDET_BATTLE_PASS_MINIGAME_NAME_3	Yutnori
EXTENDET_BATTLE_PASS_MINIGAME_NAME_4	Seherkartenspiel
EXTENDET_BATTLE_PASS_MINIGAME_NAME_5	Fischpuzzlespiel
PRIVATESHOPSEARCH_YANG	Yang
PRIVATESHOPSEARCH_BUY	Kaufen
PRIVATESHOPSEARCH_COUNT	Anzahl
PRIVATESHOPSEARCH_ITEMNAME	Name
PRIVATESHOPSEARCH_ITEMTYPE	Items
PRIVATESHOPSEARCH_JOB	Klasse
PRIVATESHOPSEARCH_LEVEL	Level
PRIVATESHOPSEARCH_PRICE	Preis
PRIVATESHOPSEARCH_REFINE	Item Level
PRIVATESHOPSEARCH_SEARCH	Suche
PRIVATESHOPSEARCH_SEARCH_BAR	Suche
PRIVATESHOPSEARCH_SELECT	Auswählen
PRIVATESHOPSEARCH_SELLER	Auswählen
PRIVATESHOPSEARCH_VALUE	Wert:
TELEPORT_DUNGEON_CITY	Dungeon & Crafting Stadt
TELEPORT_DUNGEON_CITY_DESC	Genau hier ist der Ort in dem du die Dungeons von Elendos meistern kannst. Außerdem findet du hier mehere Npcs die dir nützliche Items herstellen können.
TELEPORT_BUTTON_CRAFTING	Crafting Gebiet
TELEPORT_BUTTON_DUNGEONS	Dungeon Gebiet
TELEPORT_MAP_WORLDBOSS_FIRE	Feuer / Welten Boss
TELEPORT_MAP_WORLDBOSS_FIRE_DESC	Ohja! Hier wird es wirklich sehr heiß! Hier findest du den Feuer Welten Boss. Ich hoffe du hast genügend Wasser dabei.
TELEPORT_MAP_SHADOW_TOWER	Schattenturm
TELEPORT_MAP_SHADOW_TOWER_DESC	Immer diese lästigen Dämonen... Hier wird es echt gruselig! Ich hoffe du hast einen Exorzist vorbereitet.
TELEPORT_MAP_DRAGONFIRE	Kap des Drachen / Nephrit / Donnerberge
TELEPORT_MAP_DRAGONFIRE_DESC	Jaja.. Diese 3 Gebiete dürfen einfach nicht fehlen. Jeder kennt sie. Das Kap des Drachenfeuer so wie die Nephritbucht und die Donnerberge.
TELEPORT_BUTTON_DRAGONFIRE	Kap des Drachenfeuers
TELEPORT_BUTTON_NEPHRITEBUCHT	Nephritbucht
TELEPORT_BUTTON_DONNERBERGE	Donnerberge
TELEPORT_MAP_ENCHADWOOD	Verwunschener Wald
TELEPORT_MAP_ENCHADWOOD_DESC	Der Wald an dem Träume war werden sagt man. Sei vorsichtig! Und nimm eine Axt am besten mit!
TELEPORT_MAP_WATERFALL	Tal des Wassers
TELEPORT_MAP_WATERFALL_DESC	Ich hoffe du hast deine Schwimmflügel eingepackt! Auf dieser wunderschönen Map kannst du Leveln und Farmen.
TELEPORT_MAP_DRAGONCAVE	Weiße Drachenhöhle
TELEPORT_MAP_DRAGONCAVE_DESC	Achtung Abenteurer! Man munkelt das hier ein kalter Wind herrscht. Hier kannst du Leveln und Farmen.
TELEPORT_BOSSROOM_WHITE_DRAGON	Boss Raum
TELEPORT_MAP_SANDOFDEATH	Sand des Todes
TELEPORT_MAP_SANDOFDEATH_DESC	Am besten du ziehst dir etwas leichtere Kleidung an. Der Sand des Todes hat schon viele Abenteurer in die Knie gezwungen. Hier kannst du Leveln und Farmen.
TELEPORT_MAP_LAVAFIELDS	Lava Felder
TELEPORT_MAP_LAVAFIELDS_DESC	Verbrenn dich nicht! Hier ist die letzte Map von Elendos. Kämpfe und überlebe. Hier kannst du Leveln und Farmen.
TELEPORT_MAP_ANTIK_JUNGLE	Antiker Jungle
TELEPORT_MAP_ANTIK_JUNGLE_DESC	Ab gehts! Der Antike Jungle von Elendos ist das Zweite low Level Dungeon was du meistern kannst.
TELEPORT_BUTTON_DUNGEONNPC	Port zum Dungeon Npc
TELEPORT_MAP_CHAMBER_WISDOM	Kammer der Weisheit
TELEPORT_MAP_CHAMBER_WISDOM_DESC	Los Pack dein Buch aus! Die Kammer der Weisheit ist nichts für faulpelze.
TELEPORT_MAP_PFLANZEN_DUNGEON	Pilz Dungeon
TELEPORT_MAP_PFLANZEN_DUNGEON_DESC	Wer die Natur lieb wird dieses Dungeon lieben! Aber Achtung... Es kann gefährlich werden.
TELEPORT_MAP_SHARK_DUNGEON	Hai Dungeon
TELEPORT_MAP_SHARK_DUNGEON_DESC	Achtung bissig! Vorsicht ist hier gefragt. Aber ich bin mir sicher das du es meistern kannst.
TELEPORT_MAP_TROLL_CAVE	Magische Troll Höhle
TELEPORT_MAP_TROLL_CAVE_DESC	Eine Magische Höhle. In der Trolle ihr Unwesen treiben. Sei vorsichtig.
TELEPORT_MAP_PYRAMID	Antike Pyramide
TELEPORT_MAP_PYRAMID_DESC	Über den Sand des Todes bis zur Antiken Pyramide. Hier wirst du auf die Sphinx treffen. Sei bereit!
TELEPORT_MAP_SKORPION	Skorpion Ruinen
TELEPORT_MAP_SKORPION_DESC	Achtung die Skorpion Ruinen auf Elendos sind sehr gefährlich. Hier brauchst du deine ganze Kraft um diese zu meistern.
TELEPORT_BUTTON_REK	Rek Wiese
TELEPORT_MAP_SPIDERDUNGEON_03	Spinnendungeon 3
TELEPORT_MAP_SD1_DESC	Wer hier eine Spinnenphobie hat sollte sich in acht nehmen. Das SD1 ist ein guter Ort zum leveln.
TELEPORT_MAP_SD2_DESC	Wer hier eine Spinnenphobie hat sollte sich in acht nehmen. Das SD2 ist ein guter Ort zum leveln.
TELEPORT_MAP_SD3_DESC	Wer hier eine Spinnenphobie hat sollte sich in acht nehmen. Hier findest du auch den Eingang zur Bruthöhle der Spinnenbaroness. Das SD3 ist ein guter Ort zum leveln.
TELEPORT_MAP_DT_DESC	Der Dämonenturm wird Teufelsturm oder DT genannt. Man erreicht den Dämonenturm über den Wächter des Dämonenturms im Hwang-Tempel.
TELEPORT_MAP_DC_DESC	Die Teufels Katakomben ist ein sehr gefährlicher Ort. Um es zu betretten musst du erst den Sensenmann im Dämonenturm getötet haben.
TELEPORT_MAP_GROTTE_DESC	Die Grotte der Verbannung ist eine der besten Level Plätze im low Level bereich. Drachentöter werden hier gesucht!
TELEPORT_MAP_RAZA_DESC	Diese Map besteht aus 7 Zonen. Die erste Zone wird durch klicken auf Schlund des Am-heh geöffnet. Sei vorsichtig!
TELEPORT_MAP_NEMERE_DESC	Nemeres Warte auch das Eis Dungeon genannt ist für Abenteurer mit Erfahrung genau das richtige.
TELEPORT_MAP_SLIME_DUNGEON	Schleim Dungeon
TELEPORT_MAP_SLIME_DUNGEON_DESC	Das Schleim Dungeon ist das Erste low Level Dungeon von Elendos was du meistern kannst.
SHOW_COSTUME	Kostüm Anzeigen
HIDE_COSTUME	Kostüm Verbergen
SKILL_COLOR_TITLE	Farbe wählen
SKILL_COLOR_PRESET_TITLE	Farbvoreinstellungen
SKILL_COLOR_PRESET_SELECT	Wähle eine Farbe
SKILL_COLOR_PRESET_SAVE	Gewählten Farbcode speichern
SKILL_COLOR_PRESET_CLEAR	Ausgewählten Farbcode löschen
SKILL_COLOR_CUSTOM_COLOR_CODE_TITLE	Farbcode
SKILL_COLOR_DEFAULT	Standardfarbe verwenden
SKILL_COLOR_CHANGE	Farbe ändern
SKILL_COLOR_CANCEL	Abbrechen
TELEPORT_MAP_DEFENSE	Schiffsverteidigung
TELEPORT_MAP_DEFENSE_DESC	Ahoi Matrosen! Ihr möchtet auf die legendäre Adelaide? Das Schiff muss die Handelsroute sicher überqueren! Die Hydra und ihre Herde versuchen unser Schiff zu zerstören... Könnt ihr sie beschützen? Der Erfolg von unserer Mission hängt ganz an euch!
TELEPORT_PVP_MAP	Elendos PvP Arena
TELEPORT_PVP_MAP_DESC	Dem Drachengott zu ehren, wurde eine Kampf Arena erstellt! Setze dich gegen die anderen Spieler durch! Zeig aus welchem Material du gemacht bist! PvP Events finden hier ebenfalls statt.
TELEPORT_BUTTON_PVPMAP	Port zum Anfang
TELEPORT_MAP_ANDUNCATACOMB	Andun Katakomben
TELEPORT_MAP_ANDUNCATACOMB_DESC	Genau hier wirst du an deine Grenzen kommen! Die Andum Katakomben sind für Spieler die sehr viel Erfahrung haben. Hier findest du auch noch 3 Bossmonster.
TELEPORT_BUTTON_ENTRY_SOUL_SUNGEON	Port zum Seelendungeon
TELEPORT_MAP_SOUL_DUNGEON	Seelen Dungeon
TELEPORT_MAP_SOUL_DUNGEON_DESC	Das ist das letzte Dungeon auf Elendos. Hier musst du deine ganze Kraft sammeln! Bevor deine Seele geraubt wird.
