DUEL_BLOCK_CHANGE_ITEM	[x] Change Item
SAFEBOX_SELL_DISABLE_SAFEITEM	Kaydedilen ögelerden hiçbirini satamazsiniz.
SAFEBOX_WRONG_PASSWORD	Sifreler ayni olmalidir.
SCREENSHOT_SAVE1	depolanir
SCREENSHOT_SAVE2	Ekran görüntüsü klasörü
SCREENSHOT_SAVE_FAILURE	Ekran görüntüsü kaydedilemedi.
SECOND	Sek
SELECT_CAN_NOT_DELETE	Karakteri silemezsiniz.
SELECT_CHANGED_NAME	Karakterin adini degistirdin.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Karakter adi zaten mevcut.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Tekrar deneyin.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Bu yanlis karakter adi.
SELECT_CHANGE_NAME_TITLE	Karakter adlarini degistir
SELECT_DELEING	Karakter silinecek
SELECT_DELETED	Silme basarili.
SELECT_DO_YOU_DELETE_REALLY	Devam etmek istiyor musun
SELECT_EMPTY_SLOT	Bu bos bir alandir.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Yeni bir karakter adi girin.
SELECT_NOT_JOIN_GUILD	Lonca yok
SHOP_BUY_INFO	Magaza penceresinde satin almak istediginiz ürünü seçin.
SHOP_CANNOT_SELL_EQUIPMENT	Donanimli esyalari satamazsiniz.
SHOP_CANNOT_SELL_ITEM	Bu öge satilik degildir.
SHOP_ERROR_UNKNOWN	Bilinmeyen yükleme hatasi: %s
SHOP_INVALID_POS	Bu ürün uygun degil.
SHOP_INVENTORY_FULL	Envanterde yer kalmadi.
SHOP_NOT_ENOUGH_MONEY	Yeterli yang yok
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli yanginiz yok.
SHOP_SELL_INFO	Envanter pencerenizde satmak istediginiz ürünü seçin.
SHOP_SOLDOUT	Satildi
SHOT_ERROR_UNKNOWN	Uzaktan saldirida bilinmeyen hata: %s
SKILL_BOHO	Yansit
SKILL_BUDONG	Artik kullanilmiyor
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Bu beceriyi ögrenmek için EXP'ye ihtiyaciniz var.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Bu beceriyi ögrenmek için bir kitaba ihtiyaciniz var.
SKILL_CHEONGEUN	Güçlü beden
SKILL_CRITICAL	Kritik vurus
SKILL_ENCHANT_POISON	Zehir kullan
SKILL_EUNHYEONG	Görünmez
SKILL_FAINT	Baygin
SKILL_FIND_TRAP	Bir tuzak ariyorum
SKILL_FIRE	Yanmak
SKILL_FISHMIND	Balik topu aktif
SKILL_GAMJI	Yakalamak
SKILL_GEOMGYEONG	Kilicin aurasi
SKILL_GEONGON	SKILL_GEONGON Artik kullanilmiyor
SKILL_GICHEON	Ejderhanin yardimi
SKILL_GIGONG	Chi-Rotation
SKILL_GONGPO	korku
SKILL_GRADE_NAME_GRAND_MASTER	%s büyük usta
SKILL_GRADE_NAME_MASTER	%s usta
SKILL_GRADE_NAME_PERFECT_MASTER	%s Mükemmel usta
SKILL_GROUP_ASSASSIN_1	biçak agzi
SKILL_GROUP_ASSASSIN_2	egilmek
SKILL_GROUP_HORSE	Binicilik
SKILL_GROUP_SHAMAN_1	Ejderhalar
SKILL_GROUP_SHAMAN_2	Çare
SKILL_GROUP_SURA_1	silahlar
SKILL_GROUP_SURA_2	büyü
SKILL_GROUP_WARRIOR_1	vücut
SKILL_GROUP_WARRIOR_2	Zihinsel olarak
SKILL_GWIGEOM	Büyülü Biçak
SKILL_GYEONGGONG	Tüy yürüme
SKILL_HEUKSIN	Karanlik koruma
SKILL_HOSIN	bereket
SKILL_HWAYEOM	SKILL_HWAYEOM Artik kullanilmiyor
SKILL_HYEOLMA	SKILL_HYEOLMA Artik kullanilmiyor
SKILL_INC_ATKSPD	Saldiri hizi artti
SKILL_INC_MOVSPD	Hareket hizi artti
SKILL_INMA	SKILL_INMA Artik kullanilmiyor
SKILL_JEOJU	lanet
SKILL_JEONGEOP	Iyilesmek
SKILL_JEONGWI	Acele
SKILL_JEONSINBANGEO	Tam savunma
SKILL_JEONSINGONGGYEOK	Tam saldiri
SKILL_JEUNGCHE	SKILL_JEUNGCHE Artik kullanilmiyor
SKILL_JEUNGHON	SKILL_JEUNGHON Artik kullanilmiyor
SKILL_JEUNGRYEOK	saldiri +
SKILL_JEUNGSOK	hiz +
SKILL_JIGAM	SKILL_JIGAM Artik kullanilmiyor
SKILL_JIPJUNG	SKILL_JIPJUNG Artik kullanilmiyor
SKILL_JUMAGAP	Büyülü zirh
SKILL_JUMAGEOM	SKILL_JUMAGEOM Artik kullanilmiyor
SKILL_KWAEGEOM	SKILL_KWAEGEOM Artik kullanilmiyor
SKILL_KWAESOK	hiz
SKILL_LEGBOUND	SKILL_LEGBOUND Artik kullanilmiyor
SKILL_MUSA	SKILL_MUSA Artik kullanilmiyor
SKILL_MUYEONG	Alev ruhu
SKILL_NEED_EMPTY_BOTTLE	Bos sisem yok.
SKILL_NEED_POISON_BOTTLE	Zehir sisem yok.
SKILL_ONLY_FOR_GUILD_WAR	Bu beceriyi yalnizca bir lonca savasinda kullanabilirsiniz.
SKILL_PABEOP	Yazimi iptal et
SKILL_POWERFUL_STRIKE	Sersemletme saldirisi
SKILL_SEOMGWANG	Yildirim bombasi
SKILL_SINCHAK	SKILL_SINCHAK Artik kullanilmiyor
SKILL_SLEEP	uyku
SKILL_SLOW	Yavas yavas
SKILL_STUN	Hissiz
SKILL_SUHO	Muhafiz
SKILL_SUMMON_DESCRIPTION	Çagirma Sansi: %d%%
SKILL_TOOLTIP_INT	zeka
SKILL_TOOLTIP_LEVEL	Seviye
SKILL_TOXICDIE	zehirlenme
SKILL_TOXICPOWER	Zehirli saldiri degeri iyilestirildi
SKILL_TUSOK	Hayalet grevi
SKILL_WONSIN	SKILL_WONSIN Artik kullanilmiyor
SKILL_YONGSIN	SKILL_YONGSIN Artik kullanilmiyor
STAT_MINUS_CON	Canlilik ayari (Kalan firsat: %d)
STAT_MINUS_DEX	Hareketlilik ayari (Kalan firsat: %d)
STAT_MINUS_INT	Zeka ayari (Kalan sans: %d)
STAT_MINUS_STR	Güç ayari (Kalan sans: %d)
STAT_TOOLTIP_CON	HP ve Savunmayi artirir
STAT_TOOLTIP_DEX	Saldiri ve kaçmayi artirir
STAT_TOOLTIP_INT	SP, Büyülü Saldiri ve Savunmayi artirir.
STAT_TOOLTIP_STR	Saldiri degerini ve hasari artirir
SYMBOLLIST_TITLE	Lonca bayragina giris yap
SYSTEM_OPTION_CPU_TILING_1	CPU döseme modu, daha zayif bir bilgisayarin hizini artirabilir.
SYSTEM_OPTION_CPU_TILING_2	Grafiklerle ilgili sorun yasiyorsaniz, Sistem seçenegini 'veya CONFIG.exe' seçenegini belirleyin.
SYSTEM_OPTION_CPU_TILING_3	ve bu nedenle GPU döseme moduna geçin.
SYSTEM_OPTION_GPU_TILING_1	GPU döseme modu, daha zayif bir bilgisayarda yavas çalisabilir.
SYSTEM_OPTION_GPU_TILING_2	Grafiklerle ilgili sorun yasiyorsaniz, 'Sistem Seçenekleri'ni veya' CONFIG.exe'yi seçin.
SYSTEM_OPTION_GPU_TILING_3	ve bu yüzden CPU döseme moduna geçin.
SYSTEM_OPTION_TILING_EXIT	Döseme modunu degistirmek için oyunun yeniden baslatilmasi gerekir.
TARGET_BUTTON_ACCEPT_FIGHT	Katiliyorum
TARGET_BUTTON_AVENGE	intikam
TARGET_BUTTON_BUILDING_DESTROY	Yok etmek
TARGET_BUTTON_DISMOUNT	Otur
TARGET_BUTTON_EMOTION_ALLOW	Duygular
TARGET_BUTTON_EXCHANGE	davranmak
TARGET_BUTTON_EXCLUDE	Hariç tut
TARGET_BUTTON_EXIT_OBSERVER	Izleyici modundan çik
TARGET_BUTTON_FIGHT	düello
TARGET_BUTTON_FRIEND	arkadas
TARGET_BUTTON_INVITE_GUILD	Lonca daveti
TARGET_BUTTON_INVITE_PARTY	Grup daveti
TARGET_BUTTON_LEAVE_PARTY	gruptan ayril
TARGET_BUTTON_REQUEST_ENTER_PARTY	gruba katilmak
TARGET_BUTTON_VIEW_EQUIPMENT	ekipman
TARGET_BUTTON_WHISPER	fisildamak
TARGET_LEVEL_BOSS	patron
TARGET_LEVEL_KING	adim 5.
TARGET_LEVEL_KNIGHT	adim 3.
TARGET_LEVEL_PAWN	adim 1.
TARGET_LEVEL_S_KNIGHT	adim 4.
TARGET_LEVEL_S_PAWN	adim 2.
TASKBAR_ATTACK	Saldiri
TASKBAR_AUTO	Otomatik olarak saldir
TASKBAR_CAMERA	kamera
TASKBAR_EXP	Deneyim
TASKBAR_HP	HP
TASKBAR_MOVE	Hareket
TASKBAR_SKILL	beceri
TASKBAR_SP	SP
TASKBAR_ST	AP
THING_COUNT	hersey
TOOLTIP_ANTI_CRITICAL_PCT	Kritik Vurus Direnci +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Delici vuruslara karsi direnç +%d%%	SA
TOOLTIP_ANTI_SELL	Magazada satilamaz.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Hayvanlara karsi güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ninjalara karsi güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Seytanlara Karsi Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Yari erkeklere karsi güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Ezoteriklere karsi güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Canavarlara karsi güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orklara karsi güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Samanlara karsi güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Sureye Karsi Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Ölümsüzlere karsi güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Savasçilara karsi güçlü +%d%%	SA
TOOLTIP_APPLY_BLOCK	Yakin dövüs saldirilarini engelleme sansi %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Çatismada her 5 saniyede bir SP yenileyin %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kritik vurus olasiligi +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Isabet halinde SP kazanma sansi	SA
TOOLTIP_APPLY_DODGE	%d%% Dart saldirisindan kaçma sansi	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% EXP bonusu sansi	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Iki kati yang düsürme sansi.	SA
TOOLTIP_APPLY_IMMUNE_FALL	Düsmeye karsi bagisiklik	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Yavaslamaya karsi savunma	SNA
TOOLTIP_APPLY_IMMUNE_STUN	güçsüzlüge karsi savunma	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Iki kati esya düsürme sansi.	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% HP'yi geri yükleme sansi	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% SP'yi geri yükleme sansi	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Mana soygunu ihtimali	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. Hayat +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Keine Auswirkung
TOOLTIP_APPLY_NO_DEATH_PENALTY	Karakter ölüm yerinde dirilirse, deneyim puani düsülmez.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Delici vurus sansi	SA
TOOLTIP_APPLY_POISON_PCT	Zehirlenme sansi %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Zehir direnci %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Iksir %d%% Etki artisi	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% Laneti yansitma sansi	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Yakin dövüs vuruslarini yansitma sansi	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ninja saldirilarina karsi savunma %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Bell Savunmasi %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Hançer savunma %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Taraftar savunmasi %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Saman saldirilarina karsi savunma sansi %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Sura saldirilarina karsi savunma sansi %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Kiliç savunmasi %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Iki elli savunma %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Savasçi saldirilarina karsi savunma sansi %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Rüzgar direnci %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kitaplardan ögrenme sansi 2,5 kat artti.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	ögrenme basarisiz olursa, hemen baska bir ücretsiz denemeniz var.	SNA
TOOLTIP_APPLY_SLOW_PCT	Yavaslama sansi %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Hasar HP tarafindan absorbe edilir	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Hasar SP tarafindan emilir	SA
TOOLTIP_APPLY_STUN_PCT	Bayilma sansi %d%%	SA
TOOLTIP_ARMOR	zirh
TOOLTIP_ARROW	ok
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Saldiri degeri +%d	SA
TOOLTIP_ATT_SPEED	Atak hizi +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Günes iksiri
TOOLTIP_AUTO_POTION_REST	Kalan miktar: %.2f%%
TOOLTIP_AUTO_POTION_SP	Ayin iksiri
TOOLTIP_AUTO_POTION_USING	aktif
TOOLTIP_BOW_DISTANCE	Yay erisimi +%dm	SA
TOOLTIP_BUYPRICE	fiyat: %s
TOOLTIP_CAST_SPEED	Büyü hizi +%d%%	SA
TOOLTIP_CON	canlilik +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Costüm bonusu %d%%	SA
TOOLTIP_DEF_GRADE	savunma +%d	SA
TOOLTIP_DEX	çeviklik +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Dünya	SNA
TOOLTIP_DRAGON_SOUL_DECK2	gökyüzü	SNA
TOOLTIP_EAR	Küpe
TOOLTIP_ENERGY	enerji %d	SA
TOOLTIP_ETC	Usw.
TOOLTIP_FISHINGROD_EXP	Puanlar: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Seviye: %d
TOOLTIP_FISHINGROD_UPGRADE1	Balikçiya ver,
TOOLTIP_FISHINGROD_UPGRADE2	daha iyisi için
TOOLTIP_FISHINGROD_UPGRADE3	Olta almak.
TOOLTIP_FISH_LEN	uzunluk: %,2fcm
TOOLTIP_HELMET	kask
TOOLTIP_HP_REGEN	HP yenilenmesi +%d%%	SA
TOOLTIP_INT	zeka +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Saldiri degeri %d
TOOLTIP_ITEM_ATT_POWER	Saldiri degeri %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Saldiri degeri %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Saldiri degeri %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Atak hizi %s
TOOLTIP_ITEM_DEF_GRADE	savunma %d
TOOLTIP_ITEM_FAST	Hizli
TOOLTIP_ITEM_LIMIT_CON	Üst canlilik siniri: %d
TOOLTIP_ITEM_LIMIT_DEX	Çeviklik basligi: %d
TOOLTIP_ITEM_LIMIT_INT	Istihbarat üst siniri: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Seviyeden: %d
TOOLTIP_ITEM_LIMIT_STR	Güç siniri: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Büyülü saldiri deger %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Büyülü saldiri deger %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Sihirli savunma %d
TOOLTIP_ITEM_NORMAL	normal
TOOLTIP_ITEM_SLOW	Yavas yavas
TOOLTIP_ITEM_VERY_FAST	Çok hizli
TOOLTIP_ITEM_VERY_SLOW	çok yavasça
TOOLTIP_ITEM_WEARABLE_JOB	[donatilabilir]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	sansli sayi: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Büyülü saldiri +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Büyülü saldiri deger +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Sihirli savunma +%d	SA
TOOLTIP_MALL_ATTBONUS	Saldiri degeri +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Saldiri degeri +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Yang otomatik olarak alinir.	SNA
TOOLTIP_MALL_DEFBONUS	savunma +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	savunma +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP bonusu +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% daha fazla EXP	SNA
TOOLTIP_MALL_FISH_MIND	Balik yakalama sansi artar.	SNA
TOOLTIP_MALL_GOLDBONUS	Yang'dan düsme sansi (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Yang'i düsürmek için çifte sans	SNA
TOOLTIP_MALL_ITEMBONUS	Esyalarin düsme ihtimali (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe ganimet esyasi sansi arti %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Esyalarin çift düsme sansi	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Ask puanlari daha hizli büyür.	SNA
TOOLTIP_MALL_SAFEBOX	Daha fazla depolama alani var.	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. dayaniklilik +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Büyü / yakin dövüs saldirisi +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS HATASI(%d, %d)
TOOLTIP_MOV_SPEED	Hareket hizi. %d%%	SA
TOOLTIP_NECK	Bir kolye
TOOLTIP_NEED_ALL_SP	Gerekli SP: Max.
TOOLTIP_NEED_GSP	Gerekli ejderha ruhu: %d
TOOLTIP_NEED_HP	Gerekli HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Sek.: %d
TOOLTIP_NEED_SKILL_POINT	Gerekli beceri puanlari:
TOOLTIP_NEED_SP	Gerekli SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP / Sek.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Sonraki seviye: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Sonraki seviye: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Ortalama hasar %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Ortalama Hasar direnci %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Daha fazla %d Grup üyeleri
TOOLTIP_PARTY_INFO_GRADE_UP2	Saldiri seviyesi +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Savunma seviyesi +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Tüm grup üyelerinin HP / SP'sini 60 dakikada bir geri yükleyin.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Tüm grup üyelerinin HP / SP'sini 30 dakikada bir geri yükleyin.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Grup üyesi öldükten sonra üç dakika beklemelisiniz.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Grup üyelerini her zaman ayni sunucuya çagirabilirsiniz.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Saldiri seviyesi + (grup üyelerinin sayisi / 2) saldirganlar %d seçilebilir.
TOOLTIP_PARTY_INFO_SET_TANKER	Savunma seviyesi + (grup üyelerinin sayisi) Yakin Dövüs 1 seçilebilir.
TOOLTIP_PARTY_SKILL_LEVEL	Mevcut seviye: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Saldiri / Savunma gelistirildi]
TOOLTIP_PARTY_TITLE_HEAL	[Onarmak]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Daha fazla %d Grup üyeleri bonus EXP veriyor %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Çagir]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Saldirganlari tanimlayin]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Yakin dövüsçüleri ayarla]
TOOLTIP_PICK_EXP	Puanlar: %d / %d
TOOLTIP_PICK_LEVEL	Seviye: %d
TOOLTIP_PICK_UPGRADE1	Oduncuya ver
TOOLTIP_PICK_UPGRADE2	daha iyisi için
TOOLTIP_PICK_UPGRADE3	Kazma almak için.
TOOLTIP_POTION_CURE	Olumsuz etkileri sifirlayin.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Atak hizi +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Hareket hizi +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Sn.
TOOLTIP_POTION_TIME	Dauer:
TOOLTIP_REQUIREMENT_21_LEVEL	21. seviyeye ulasmis olmalisin
TOOLTIP_REQUIREMENT_41_LEVEL	41. seviyeye ulasmis olmalisin
TOOLTIP_REQUIREMENT_LEVEL	Seviye atlamalisin %d elde edildi
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Seviye %d gereklidir
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d gereklidir
TOOLTIP_RESIST_BOW	Ok direnci %d%%	SA
TOOLTIP_RESIST_DARK	Karanliga karsi direnç +%d%%	SA
TOOLTIP_RESIST_EARTH	Toprak direnci +%d%%	SA
TOOLTIP_RESIST_ELEC	Yildirim direnci %d%%	SA
TOOLTIP_RESIST_FIRE	Yangina dayaniklilik %d%%	SA
TOOLTIP_RESIST_ICE	Buz direnci +%d%%	SA
TOOLTIP_RESIST_MAGIC	Büyü direnci %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Kalan: %d
TOOLTIP_SEALED	Soulbound
TOOLTIP_SELLPRICE	fiyat: %s
TOOLTIP_SHAMAN	saman
TOOLTIP_SHIELD	isaret
TOOLTIP_SHOES	Ayakkabi
TOOLTIP_SKILL	beceri	SNA
TOOLTIP_SKILLBOOK_NAME	Beceri Kitabi
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Saldiri degeri: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Saldiri degeri:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Atak hizi: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	savunma:
TOOLTIP_SKILL_AFFECT_DODGE	Düsman saldiri degeri: -
TOOLTIP_SKILL_AFFECT_HEAL	HP yi geri yükle:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Hareket hizi: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Yakin dövüs saldirisini yansitma sansi:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Fiziksel hasara karsi direnç:
TOOLTIP_SKILL_COOL_TIME	Sarj süresi: 
TOOLTIP_SKILL_DAMAGE_BONUS	Beceri hasari %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Beceri hasarina karsi direnç %d%%	SA
TOOLTIP_SKILL_DURATION	Süresi: %d Sn.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Unutulma kitabi
TOOLTIP_SKILL_LEVEL	Mevcut seviye: %d
TOOLTIP_SKILL_LEVEL_MASTER	Mevcut seviye: %d (usta)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Mevcut seviye: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Bos
TOOLTIP_SOCKET_REFINABLE_ITEM	[Çerçeveli konu]
TOOLTIP_SP_REGEN	SP-yenilenme +%d%%	SA
TOOLTIP_STR	Gücü +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Sarj süresi %d Sek.	SA
TOOLTIP_TIME_CHARGER_PER	Sarj süresi %d%%	SA
TOOLTIP_UNIQUE	Benzersiz
TOOLTIP_UNSEAL_LEFT_TIME	Içinde ruh çözümü: %dH %dM
TOOLTIP_WARRIOR	savasçi
TOOLTIP_WEAPON	silah
TOOLTIP_WRISTLET	bilezik
UI_ACCEPT	Kabul etmek
UI_CANCEL	iptal
UI_CLOSE	Kapat
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	düsüs
UI_ITEM	nesne
UI_LEFT_TIME	Kalan zaman: %d Sek.
UI_NEXT	Devam et
UI_NEXTPAGE	Weiter
UI_NOCONTENTS	Içerik yok
UI_NONAME	Isimsiz
UI_OK	tamam
UI_POS_UNKNOWN	Bilinmeyen yer
UI_PREVPAGE	Geri
UI_UNKNOWN	Bilinmeyen
UPLOAD_MARK_CHECK_NEED_RECONNECT	Yükleme yeniden baslatilmalidir.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Yükleme yeniden baslatilmalidir.
USE_ITEM_FAILURE_PRIVATE_SHOP	Özel bir magazaniz açikken ögeleri kullanamazsiniz.
USE_SKILL_ERROR_UNKNOWN	Bilinmeyen beceri hatasi: %s
SASH_REFINE_COST	Emilim fiyati: %d
SASH_ABSORB_CHANCE	Absorbe orani: %d%%
SASH_ABSORB_CHANCE2	Absorbe orani: %d%% ~ %d%%
SASH_DO_YOU_CLEAN	Mevcut tüm bonuslari kaldirmak istiyor musunuz?
SASH_FAILURE_CLEAN	Hiçbir bonus kaldirilamaz.
SASH_DEL_SERVEITEM	Kombinasyon basarisiz olursa omuz askisi 2 imha edilecektir.
SASH_DEL_ABSORDITEM	Islem sirasinda öge yok edilsin mi?
TARGET_INFO_DAMAGE	hasar : %s - %s
TARGET_INFO_DEFENSE	savunma : %s
TARGET_INFO_EXP	Deneyim : %s
TARGET_INFO_MAINRACE	yaris : %s
TARGET_INFO_MAX_HP	Max. HP : %s
TARGET_INFO_NO_ITEM_TEXT	Hiçbir öge düsürülemez.
TARGET_INFO_NO_RACE	Yok
TARGET_INFO_RACE_METIN	Metinstein
TARGET_INFO_RACE_ANIMAL	Hayvanlar
TARGET_INFO_RACE_DARK	Karanlik
TARGET_INFO_RACE_DEVIL	seytan
TARGET_INFO_RACE_EARTH	Dünya
